Header,Price,Price Per Square Meter,Surface,Rooms,Address,Latitude,Longitude,URL,Extraction Date,Floor,Rent,Additional Information,Seller Type,Free From,Type of Property,Form of Property,Status,Heating Type,Accessibility Score,Flag_hasSchoolNearby,Flag_hasParkNearby,Flag_hasPublicTransportNearby,Flag_hasSupermarketNearby,Flag_hasHospitalNearby,Flag_hasRestaurantNearby,Flag_hasGymNearby,Flag_hasShoppingMallNearby,Distance_schoolDistance,Distance_parkDistance,Distance_publicTransportDistance,Distance_supermarketDistance,Distance_hospitalDistance,Distance_restaurantDistance,Distance_gymDistance,Distance_shoppingMallDistance
Apartament cu o camere 47.900 euro + tva,47900.0,1545.0,31.0,1,"Balciu, Miroslava, Iasi",47.141216,27.536219,https://www.storia.ro/ro/oferta/apartament-cu-o-camere-47-900-euro-tva-IDCJew,2025-03-18T08:45:42.986913,1/3,0.0,,agenție,fara informatii,locuință nouă,drept de proprietate,în construcție,centrală pe gaz,80,true,true,true,true,true,true,true,true,666.8176461323059,561.420590917101,492.84985941032596,560.1246096501688,824.7361060864409,651.7653426143943,731.156736194248,743.936020512897
Apartament 3 camere decomandat 95 mp la 3 minute Parcul Teilor,121171.0,1284.0,94.34,3,"Titan, Sectorul 3, Bucuresti",44.424908,26.163483,https://www.storia.ro/ro/oferta/apartament-3-camere-decomandat-95-mp-la-3-minute-parcul-teilor-IDD8kb,2025-03-18T08:45:52.028329,1,0.0,"balcon
garaj",agenție,fara informatii,locuință utilizată,fara informatii,fara informatii,centralizată,94,true,true,true,true,true,true,true,true,444.75206004136885,161.72503098370453,28.54565063555175,193.16177646439849,871.4459021464355,684.0569096711911,183.26156062122604,183.66105540839425
Apartament 2 camere tip studio zona Pallady,69725.0,1448.0,48.15,2,"Theodor Pallady, Sectorul 3, Bucuresti",44.408157,26.191114,https://www.storia.ro/ro/oferta/apartament-2-camere-tip-studio-zona-pallady-IDD8ka,2025-03-18T08:46:00.221008,1,0.0,balcon,agenție,fara informatii,locuință nouă,fara informatii,fara informatii,centralizată,85,true,true,true,true,true,false,true,true,585.684551981442,715.412002395661,61.328607702028705,473.14053038441114,234.5586736387145,1164.9147572037034,607.0951050135691,463.3665169288513
Apartament 2 camere 70 mp la 3 minute Parcul Teilor,96688.0,1376.0,70.26,2,"Titan, Sectorul 3, Bucuresti",44.424908,26.163483,https://www.storia.ro/ro/oferta/apartament-2-camere-70-mp-la-3-minute-parcul-teilor-IDD8k8,2025-03-18T08:46:08.031270,1,0.0,"balcon
garaj
beci",agenție,fara informatii,locuință utilizată,fara informatii,fara informatii,centralizată,94,true,true,true,true,true,true,true,true,444.75206004136885,161.72503098370453,28.54565063555175,193.16177646439849,871.4459021464355,684.0569096711911,183.26156062122604,183.66105540839425
"Apartament de vanzare 2 camere, etaj 1 imobil nou Grigorescu.",135000.0,3293.0,41.0,2,"Grigorescu, Cluj-Napoca, Cluj",46.771317,23.564497,https://www.storia.ro/ro/oferta/apartament-de-vanzare-2-camere-etaj-1-imobil-nou-grigorescu-IDoNOQ,2025-03-18T08:46:15.604309,1/4,0.0,balcon,agenție,fara informatii,locuință nouă,fara informatii,gata de utilizare,centralizată,88,true,true,true,true,true,true,true,true,332.60695804313315,338.49066759222575,176.09812563354873,229.1858477707198,316.36777408268466,356.0271993296393,195.82458735503965,828.499627075763
Apartament 2 Camere 61MP Decomandat Zona Grand Arena,81145.0,1330.0,61.0,2,"IMGB, Sectorul 4, Bucuresti",44.367035,26.139484,https://www.storia.ro/ro/oferta/apartament-2-camere-61mp-decomandat-zona-grand-arena-IDD8k5,2025-03-18T08:46:24.066971,1,0.0,"balcon
bucătărie separată",agenție,fara informatii,locuință nouă,fara informatii,fara informatii,centralizată,88,true,true,true,true,true,true,true,true,248.24800856672994,318.35876414072504,342.92853612606706,442.63855882280404,381.59318636914577,353.8574898529643,446.07555751210344,781.3494667722496
Apartament Mamaia nord Navodari mobilat,110000.0,2115.0,52.0,2,"Navodari, Constanta",44.323547,28.611786,https://www.storia.ro/ro/oferta/apartament-mamaia-nord-navodari-mobilat-IDD8k3,2025-03-18T08:46:32.115354,fara informatii,0.0,,agenție,fara informatii,locuință utilizată,fara informatii,fara informatii,fara informatii,93,true,true,true,true,true,true,true,true,127.34626240466557,208.0189949910406,292.11983197923047,133.9512044686232,370.0697045047732,86.26897459808794,297.11169667523006,161.08480510257075
Apartament 3 camere Rahova COMISION 0%,93500.0,1355.0,69.0,3,"Rahova, Sectorul 5, Bucuresti",44.396236,26.05665,https://www.storia.ro/ro/oferta/apartament-3-camere-rahova-comision-0-IDCCLb,2025-03-18T08:46:40.227456,6/8,0.0,"balcon
debara",agenție,fara informatii,locuință utilizată,drept de proprietate,gata de utilizare,centralizată,82,true,true,true,true,true,true,true,true,696.3532812564753,558.3123997491155,180.25292620811499,587.0466362659124,662.1653990491174,785.0331496493216,345.13509142275734,650.2191358210694
Apartament 3 Camere 79MP Zona Grand Arena,89908.0,1138.0,79.0,3,"IMGB, Sectorul 4, Bucuresti",44.367035,26.139484,https://www.storia.ro/ro/oferta/apartament-3-camere-79mp-zona-grand-arena-IDD8k2,2025-03-18T08:46:49.772040,4,0.0,balcon,agenție,fara informatii,locuință nouă,fara informatii,fara informatii,centralizată,88,true,true,true,true,true,true,true,true,248.24800856672994,318.35876414072504,342.92853612606706,442.63855882280404,381.59318636914577,353.8574898529643,446.07555751210344,781.3494667722496
Apartament 2 camere | Baicului | 50 mp | Mobilat | Centrala proprie,85000.0,1701.0,49.98,2,"Electronicii, Sectorul 2, Bucuresti",44.45121,26.137953,https://www.storia.ro/ro/oferta/apartament-2-camere-baicului-50-mp-mobilat-centrala-proprie-IDD8k1,2025-03-18T08:46:57.441379,parter,0.0,bucătărie separată,agenție,fara informatii,locuință utilizată,fara informatii,fara informatii,centralizată,85,true,true,true,true,true,true,true,true,419.6066806747336,295.17424124080026,369.4754338121856,591.2821677274735,765.9694149216127,651.0491620525711,692.0550352479648,127.54057570396363
